P40509,COPE_YEAST,YIL076W,Coatomer subunit epsilon,SEC28,ANU2
P31688,TPS2_YEAST,YDR074W,Trehalose-phosphatase,TPS2,HOG2;PFK3
P14843,AROF_YEAST,YDR035W,Phospho-2-dehydro-3-deoxyheptonate aldolase, phenylalanine-inhibited,ARO3,
P38959,VPS41_YEAST,YDR080W,Vacuolar protein sorting-associated protein 41,VPS41,CVT8;FET2;SVL2;VAM2;VPL20
Q02775,SLU7_YEAST,YDR088C,Pre-mRNA-splicing factor SLU7,SLU7,SLT17
Q03834,MSH6_YEAST,YDR097C,MutS protein homolog 6,MSH6,PMS3
P32917,STE5_YEAST,YDR103W,Protein STE5,STE5,HMD3;NUL3
Q03833,GIS1_YEAST,YDR096W,Transcriptional activator/repressor GIS1,GIS1,
O13329,FOB1_YEAST,YDR110W,DNA replication fork-blocking protein FOB1,FOB1,HRM1
Q03835,GLRX3_YEAST,YDR098C,Monothiol glutaredoxin-3,GRX3,
Q04600,TMA64_YEAST,YDR117C,Translation machinery-associated protein 64,TMA64,RBF64
P26798,INO2_YEAST,YDR123C,Protein INO2,INO2,DIE1;SCS1
Q04629,SWF1_YEAST,YDR126W,Palmitoyltransferase SWF1,SWF1,PSL10
P08566,ARO1_YEAST,YDR127W,Pentafunctional AROM polypeptide,ARO1,AROM
P32599,FIMB_YEAST,YDR129C,Fimbrin,SAC6,ABP67
P17629,HPR1_YEAST,YDR138W,THO complex subunit HPR1,HPR1,TRF1
P39108,PEX7_YEAST,YDR142C,Peroxisomal targeting signal 2 receptor,PEX7,PAS7;PEB1
P53379,MKC7_YEAST,YDR144C,Aspartic proteinase MKC7 precursor,MKC7,YPS2
Q03761,TAF12_YEAST,YDR145W,Transcription initiation factor TFIID subunit 12,TAF12,TAF61;TAF68
Q00402,NUM1_YEAST,YDR150W,Nuclear migration protein NUM1,NUM1,PAC12
P14832,CYPH_YEAST,YDR155C,Peptidyl-prolyl cis-trans isomerase,CPR1,CPH1;CYP1;SCC1
P46674,SAC3_YEAST,YDR159W,Nuclear mRNA export protein SAC3,SAC3,LEP1
Q03770,SSY1_YEAST,YDR160W,Amino-acid permease SSY1,SSY1,SHR10
Q12030,TAF10_YEAST,YDR167W,Transcription initiation factor TFIID subunit 10,TAF10,TAF23;TAF25
P06101,CDC37_YEAST,YDR168W,Hsp90 co-chaperone Cdc37,CDC37,SMO1
P05453,ERF2_YEAST,YDR172W,Eukaryotic peptide chain release factor GTP-binding subunit,SUP35,GST1;PNM2;SAL3;SUF12;SUP2;SUP36;[PSI(+)];[PSI]
P07250,IPMK_YEAST,YDR173C,Inositol polyphosphate multikinase,ARG82,ARGR3;ARGRIII;IPK2
Q03973,HMO1_YEAST,YDR174W,High mobility group protein 1,HMO1,HSM2
P40316,SECU_YEAST,YDR113C,Securin,PDS1,
P37298,DHSD_YEAST,YDR178W,Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial precursor,SDH4,ACN18
P40986,CDC1_YEAST,YDR182W,Cell division control protein 1,CDC1,DSC1;DSR1;ESP2
Q04005,LIC4_YEAST,YDR184C,Protein ATC1/LIC4,ATC1,LIC4
P39079,TCPZ_YEAST,YDR188W,T-complex protein 1 subunit zeta,CCT6,HTR3;TCP20;TCP6
Q03940,RUVB1_YEAST,YDR190C,RuvB-like protein 1,RVB1,TIH1;TIP48;TIP49A
P49686,NUP42_YEAST,YDR192C,Nucleoporin NUP42,NUP42,RIP1;UIP1
P14905,CBS2_YEAST,YDR197W,Cytochrome B translational activator protein CBS2,CBS2,CBP7
Q03944,VPS64_YEAST,YDR200C,Vacuolar protein sorting-associated protein 64,VPS64,FAR9
P39001,UME6_YEAST,YDR207C,Transcriptional regulatory protein UME6,UME6,CAR80;CARGR1;NIM2;RIM16
P32501,EI2BE_YEAST,YDR211W,Translation initiation factor eIF-2B subunit epsilon,GCD6,TIF225
Q12151,UPC2_YEAST,YDR213W,Sterol uptake control protein 2,UPC2,MOX4
P02293,H2B1_YEAST,YDR224C,Histone H2B.1,HTB1,H2B1;SPT12
P04911,H2A1_YEAST,YDR225W,Histone H2A.1,HTA1,H2A1;SPT11
P07170,KAD1_YEAST,YDR226W,Adenylate kinase cytosolic,ADK1,AKY;AKY1;AKY2
P11978,SIR4_YEAST,YDR227W,Regulatory protein SIR4,SIR4,ASD1;STE9;UTH2
P09950,HEM1_YEAST,YDR232W,5-aminolevulinate synthase, mitochondrial precursor,HEM1,CYD1
P49367,LYS4_YEAST,YDR234W,Homoaconitase, mitochondrial precursor,LYS4,LYS3
Q03776,PRP42_YEAST,YDR235W,U1 small nuclear ribonucleoprotein component PRP42,PRP42,MUD16;SNU65
Q03782,SNU56_YEAST,YDR240C,56 kDa U1 small nuclear ribonucleoprotein component,SNU56,MUD10
P22580,AMDY_YEAST,YDR242W,Probable amidase,AMD2,AMDY;AMDY1
P35056,PEX5_YEAST,YDR244W,Peroxisomal targeting signal receptor,PEX5,PAS10
P50108,MNN10_YEAST,YDR245W,Probable alpha-1,6-mannosyltransferase MNN10,MNN10,BED1;REC41;SLC2
P21734,UBC1_YEAST,YDR177W,Ubiquitin-conjugating enzyme E2-24 kDa,UBC1,
P38907,CHL4_YEAST,YDR254W,Central kinetochore subunit CHL4,CHL4,CTF17;MCM17
Q12508,RMD5_YEAST,YDR255C,Sporulation protein RMD5,RMD5,GID2
Q03935,YAP6_YEAST,YDR259C,AP-1-like transcription factor YAP6,YAP6,HAL7
Q12379,SWM1_YEAST,YDR260C,Anaphase-promoting complex subunit SWM1,SWM1,APC13
Q12086,DIN7_YEAST,YDR263C,DNA damage-inducible protein DIN7,DIN7,DIN3
Q05568,PEX10_YEAST,YDR265W,Peroxisome assembly protein 10,PEX10,PAS4
P35198,MTH1_YEAST,YDR277C,Protein MTH1,MTH1,BPC1;DGT1;HTR1
P15442,GCN2_YEAST,YDR283C,Serine/threonine-protein kinase GCN2,GCN2,AAS1
Q05521,DPP1_YEAST,YDR284C,Diacylglycerol pyrophosphate phosphatase 1,DPP1,ZRG1
P24276,SSD1_YEAST,YDR293C,Protein SSD1,SSD1,CLA1;MCS1;RLD1;RLT1;SRK1
Q05567,SGPL_YEAST,YDR294C,Sphingosine-1-phosphate lyase,DPL1,BST1
Q06629,HDA2_YEAST,YDR295C,HDA1 complex subunit 2,HDA2,PLO2
Q06630,MHR1_YEAST,YDR296W,Mitochondrial homologous recombination protein 1,MHR1,XTC1
P38992,SUR2_YEAST,YDR297W,Protein SUR2,SUR2,SYR2
P09457,ATPO_YEAST,YDR298C,ATP synthase subunit 5, mitochondrial precursor,ATP5,OSC1;OSCP
Q06632,CFT1_YEAST,YDR301W,Protein CFT1,CFT1,YHH1
P35176,CYPD_YEAST,YDR304C,Peptidyl-prolyl cis-trans isomerase D precursor,CPR5,CYP5;CYPD
P49775,HNT2_YEAST,YDR305C,Hit family protein 2,HNT2,APH1
P47822,MED21_YEAST,YDR308C,RNA polymerase II mediator complex subunit 21,SRB7,MED21
Q06667,IPK1_YEAST,YDR315C,Inositol-pentakisphosphate 2-kinase,IPK1,GSL1
Q06675,MCM21_YEAST,YDR318W,Central kinetochore subunit MCM21,MCM21,CTF5
Q06677,SWA2_YEAST,YDR320C,Auxilin-like clathrin uncoating factor SWA2,SWA2,AUX1;BUD24
P69851,DAD4_YEAST,YDR320C-A,DASH complex subunit DAD4,DAD4,HSK2
P32609,PEP7_YEAST,YDR323C,Vacuolar segregation protein PEP7,PEP7,VAC1;VPL21;VPS19;VPT19
Q06680,CND3_YEAST,YDR325W,Condensin complex subunit 3,YCG1,TIE1;YCS5
P52286,SKP1_YEAST,YDR328C,Suppressor of kinetochore protein 1,SKP1,CBF3D;MGO1
P28795,PEX3_YEAST,YDR329C,Peroxisomal biogenesis factor 3,PEX3,PAS3
P52918,MSN5_YEAST,YDR335W,Protein MSN5,MSN5,KAP142;STE21
Q05498,FCF1_YEAST,YDR339C,rRNA-processing protein FCF1,FCF1,UTP24
Q05515,SVF1_YEAST,YDR346C,Survival factor 1,SVF1,SGI1
O94742,SEM1_YEAST,YDR363W-A,26 proteasome complex subunit SEM1,SEM1,DSH1;DSS1;HOD1
P40968,PRP17_YEAST,YDR364C,Pre-mRNA-processing factor 17,CDC40,PRP17;SLT15;SLU4;XRS2
Q06385,VPS74_YEAST,YDR372C,Vacuolar protein sorting-associated protein 74,VPS74,API1
Q06389,NCS1_YEAST,YDR373W,Calcium-binding protein NCS-1,FRQ1,NCS1
Q12159,YRA1_YEAST,YDR381W,RNA annealing protein YRA1,YRA1,SHE11
P02400,RLA4_YEAST,YDR382W,60S acidic ribosomal protein P2-beta,RPP2B,L12EIA;RPL45;RPLA4;YPA1
Q06681,YSP2_YEAST,YDR326C,GRAM domain-containing protein YSP2,YSP2,
Q04149,MUS81_YEAST,YDR386W,Crossover junction endonuclease MUS81,MUS81,SLX3
P52488,UBA2_YEAST,YDR390C,Ubiquitin-activating enzyme E1-like,UBA2,PIP2;UAL1
Q04172,SHE9_YEAST,YDR393W,Sensitive to high expression protein 9, mitochondrial precursor,SHE9,MDM33
P33298,PRS6B_YEAST,YDR394W,26S protease regulatory subunit 6B homolog,RPT3,YNT1;YTA2
Q04175,SXM1_YEAST,YDR395W,Importin beta SMX1,SXM1,KAP108
Q92317,NCB2_YEAST,YDR397C,Negative cofactor 2 complex subunit beta,NCB2,YDR1
Q04178,HPRT_YEAST,YDR399W,Hypoxanthine guanine phosphoribosyltransferase,HPT1,BRA6;HPRT
P21595,CP56_YEAST,YDR402C,Cytochrome P450-DIT2,DIT2,CYP56
Q04195,SIZ1_YEAST,YDR409W,E3 SUMO-protein ligase SIZ1,SIZ1,ULL1
P16151,ERD1_YEAST,YDR414C,Protein ERD1,ERD1,LDB2
Q04048,SYF1_YEAST,YDR416W,Pre-mRNA-splicing factor SYF1,SYF1,NTC90
Q04049,POLH_YEAST,YDR419W,DNA polymerase eta,RAD30,DBH1
P24813,YAP2_YEAST,YDR423C,AP-1-like transcription activator YAP2,CAD1,YAP2
Q02647,DYL1_YEAST,YDR424C,Dynein light chain 1, cytoplasmic,DYN2,SLC1
Q04062,RPN9_YEAST,YDR427W,26S proteasome regulatory subunit RPN9,RPN9,NAS7
P32898,CYM1_YEAST,YDR430C,Mitochondrial presequence protease,CYM1,MOP112
Q04089,DOT1_YEAST,YDR440W,Histone-lysine N-methyltransferase, H3 lysine-79 specific,DOT1,PCH1
P38931,SSN2_YEAST,YDR443C,Suppressor of RNA polymerase B SSN2,SSN2,MED13;NUT8;RYE3;SCA1;SRB9;UME2
P14127,RS17B_YEAST,YDR447C,40S ribosomal protein S17-B,RPS17B,RP51B;RPL51B
Q02336,ADA2_YEAST,YDR448W,Transcriptional adapter 2,ADA2,SWI8
Q04119,PPN1_YEAST,YDR452W,Endopolyphosphatase precursor,PPN1,PHM5
Q03338,PRP3_YEAST,YDR473C,U4/U6 small nuclear ribonucleoprotein PRP3,PRP3,RNA3
P06782,SNF1_YEAST,YDR477W,Carbon catabolite derepressing protein kinase,SNF1,CAT1;CCR1;GLC2;HAF3;PAS14
Q03373,DIG2_YEAST,YDR480W,Down-regulator of invasive growth 2,DIG2,RST2
P27809,KRE2_YEAST,YDR483W,Glycolipid 2-alpha-mannosyltransferase,KRE2,MNT1
P39904,VPS52_YEAST,YDR484W,Vacuolar protein sorting-associated protein 52,VPS52,SAC2
Q03388,VPS72_YEAST,YDR485C,Vacuolar protein sorting-associated protein 72,VPS72,SWC2
Q03390,VPS60_YEAST,YDR486C,Vacuolar protein sorting-associated protein 60,VPS60,CHM5;MOS10
Q03406,SLD5_YEAST,YDR489W,DNA replication complex GINS protein SLD5,SLD5,CDC105
P23643,VPS3_YEAST,YDR495C,Vacuolar protein sorting-associated protein 3,VPS3,PEP6;VPL3;VPT17
Q04377,LCD1_YEAST,YDR499W,DNA damage checkpoint protein LCD1,LCD1,DDC2;PIE1
P51402,RL37B_YEAST,YDR500C,60S ribosomal protein L37-B,RPL37B,RPL35B
P19358,METL_YEAST,YDR502C,S-adenosylmethionine synthetase 2,SAM2,ETH2
P50896,PSP1_YEAST,YDR505C,Protein PSP1,PSP1,GIN5
Q12263,GIN4_YEAST,YDR507C,Serine/threonine-protein kinase GIN4,GIN4,ERC47
P17695,GLRX2_YEAST,YDR513W,Glutaredoxin-2, mitochondrial precursor,GRX2,TTR;TTR1
Q12034,SLF1_YEAST,YDR515W,Protein SLF1,SLF1,SRO99
Q04412,AGE1_YEAST,YDR524C,ARF GAP effector protein 1,AGE1,SAT1
P00128,UCR7_YEAST,YDR529C,Ubiquinol-cytochrome c reductase complex 14 kDa protein,QCR7,COR4;CRO1;UCR7
P33751,PAD1_YEAST,YDR538W,Phenylacrylic acid decarboxylase,PAD1,POF1
P11491,PPB_YEAST,YDR481C,Repressible alkaline phosphatase precursor,PHO8,
P40005,PFD2_YEAST,YEL003W,Prefoldin subunit 2,GIM4,PFD2
Q03375,CWC21_YEAST,YDR482C,Pre-mRNA-splicing factor CWC21,CWC21,
Q99258,RIB3_YEAST,YDR487C,3,4-dihydroxy-2-butanone 4-phosphate synthase,RIB3,
P03069,GCN4_YEAST,YEL009C,General control protein GCN4,GCN4,AAS3;ARG9
P32775,GLGB_YEAST,YEL011W,1,4-alpha-glucan branching enzyme,GLC3,GHA1
P28263,UBC8_YEAST,YEL012W,Ubiquitin-conjugating enzyme E2-24 kDa,UBC8,GID3
P39998,EDC3_YEAST,YEL015W,Enhancer of mRNA decapping protein 3,EDC3,DCP3;LSM16
P40960,PAC11_YEAST,YDR488C,Protein PAC11,PAC11,
Q03407,PKH1_YEAST,YDR490C,Serine/threonine-protein kinase PKH1,PKH1,
P38632,NSE2_YEAST,YEL019C,E3 SUMO-protein ligase MMS21,MMS21,NSE2
P39987,HSP7E_YEAST,YEL030W,Heat shock protein SSC3, mitochondrial precursor,ECM10,SSC3
P39986,ATC6_YEAST,YEL031W,Probable cation-transporting ATPase 1,SPF1,COD1;PER9;PIO1
P23301,IF5A2_YEAST,YEL034W,Eukaryotic translation initiation factor 5A-2,HYP2,TIF51A
P32629,ANP1_YEAST,YEL036C,Mannan polymerase II complex ANP1 subunit,ANP1,GEM3;MNN8
P00045,CYC7_YEAST,YEL039C,Cytochrome c iso-2,CYC7,CYP3
P32623,CRH2_YEAST,YEL040W,Probable glycosidase CRH2 precursor,UTR2,CRH2
P40975,PMP2_YEAST,YEL017C-A,Plasma membrane ATPase proteolipid 2 precursor,PMP2,
P32317,AFG1_YEAST,YEL052W,Protein AFG1,AFG1,AFG
P17079,RL12_YEAST,YDR418W,60S ribosomal protein L12,RPL12B,RPL15B
P17079,RL12_YEAST,YEL054C,60S ribosomal protein L12,RPL12A,RPL15B
P38628,AGM1_YEAST,YEL058W,Phosphoacetylglucosamine mutase,PCM1,AGM1
P09232,PRTB_YEAST,YEL060C,Cerevisin precursor,PRB1,CVT1
P27895,CIN8_YEAST,YEL061C,Kinesin-like protein CIN8,CIN8,KSL2;SDS15
P39980,SIT1_YEAST,YEL065W,Siderophore iron transporter 1,SIT1,ARN3
P39924,HXT13_YEAST,YEL069C,Hexose transporter HXT13,HXT13,HXT8
O74700,TIM9_YEAST,YEL020W-A,Mitochondrial import inner membrane translocase subunit TIM9,TIM9,
P29952,MANA_YEAST,YER003C,Mannose-6-phosphate isomerase,PMI40,PMI
P40009,YND1_YEAST,YER005W,Golgi apyrase,YND1,YEJ5
P89886,TMA20_YEAST,YER007C-A,Translation machinery-associated protein 20,TMA20,RBF20
P33332,SEC3_YEAST,YER008C,Exocyst complex component SEC3,SEC3,PSL1
P10863,TIR1_YEAST,YER011W,Cold shock-induced protein TIR1 precursor,TIR1,SRP1
P39518,LCF2_YEAST,YER015W,Long-chain-fatty-acid--CoA ligase 2,FAA2,FAM1
P40013,BIM1_YEAST,YER016W,Protein BIM1,BIM1,EB1;YEB1
P39925,AFG3_YEAST,YER017C,Mitochondrial respiratory chain complexes assembly protein AFG3,AFG3,YTA10
P10823,GPA2_YEAST,YER020W,Guanine nucleotide-binding protein alpha-2 subunit,GPA2,SSP101
P40016,RPN3_YEAST,YER021W,26S proteasome regulatory subunit RPN3,RPN3,SUN2
P32569,MED17_YEAST,YER022W,RNA polymerase II mediator complex subunit 17,SRB4,MED17
P32263,P5CR_YEAST,YER023W,Pyrroline-5-carboxylate reductase,PRO3,ORE2
P40014,SPC25_YEAST,YER018C,Kinetochore protein SPC25,SPC25,
P32481,IF2G_YEAST,YER025W,Eukaryotic translation initiation factor 2 subunit gamma,GCD11,SUI4;TIF213
P08456,PSS_YEAST,YER026C,CDP-diacylglycerol--serine O-phosphatidyltransferase,CHO1,PSS;PSS1
Q04739,GAL83_YEAST,YER027C,Glucose repression protein GAL83,GAL83,SPM1
P40015,ISC1_YEAST,YER019W,Inositol phosphosphingolipids phospholipase C,ISC1,
P40018,RSMB_YEAST,YER029C,Small nuclear ribonucleoprotein-associated protein B,SMB1,
P38555,YPT31_YEAST,YER031C,GTP-binding protein YPT31/YPT8,YPT31,YPT8
P40020,FIR1_YEAST,YER032W,Factor interacting with REF2,FIR1,PIP1
P40025,PHM8_YEAST,YER037W,Phosphate metabolism protein 8,PHM8,
P40026,KRE29_YEAST,YER038C,DNA repair protein KRE29,KRE29,
P18494,GLN3_YEAST,YER040W,Nitrogen regulatory protein GLN3,GLN3,
P39954,SAHH_YEAST,YER043C,Adenosylhomocysteinase,SAH1,
P29467,MEI4_YEAST,YER044C-A,Meiosis-specific protein MEI4,MEI4,
P40029,MSRA_YEAST,YER042W,Peptide methionine sulfoxide reductase,MXR1,MSRA
P40030,ERG28_YEAST,YER044C,Ergosterol biosynthetic protein 28,ERG28,BUD18
P40031,SPO73_YEAST,YER046W,Sporulation-specific protein 73,SPO73,
P39955,SAP1_YEAST,YER047C,Protein SAP1,SAP1,
P39101,CAJ1_YEAST,YER048C,Protein CAJ1,CAJ1,
P10869,AK_YEAST,YER052C,Aspartokinase,HOM3,BOR1;SIL4
P17064,FCY2_YEAST,YER056C,Purine-cytosine permease FCY2,FCY2,BRA7
P40037,HMF1_YEAST,YER057C,Protein HMF1,HMF1,HIG1
P40039,FCY21_YEAST,YER060W,Purine-cytosine permease FCY21,FCY21,FCYY
Q12119,FCY22_YEAST,YER060W-A,Purine-cytosine permease FCY22,FCY22,FCYX
P21524,RIR1_YEAST,YER070W,Ribonucleoside-diphosphate reductase large chain 1,RNR1,CRT7;RIR1;SDS12
P40046,VTC1_YEAST,YER072W,Vacuolar transporter chaperone 1,VTC1,NRF1;PHM4
P40047,ALDH5_YEAST,YER073W,Aldehyde dehydrogenase, mitochondrial precursor,ALD5,ALD3;ALDH5
Q6Q560,ISD11_YEAST,YER048W-A,Protein ISD11,ISD11,
P40038,PCL6_YEAST,YER059W,PHO85 cyclin 6,PCL6,
P40055,UTP7_YEAST,YER082C,U3 small nucleolar RNA-associated protein 7,UTP7,KRE31
P40056,GET2_YEAST,YER083C,Golgi to ER traffic protein 2,GET2,HUR2;RMD7
P00927,THDH_YEAST,YER086W,Threonine dehydratase, mitochondrial precursor,ILV1,ISO1
P52870,SC6B1_YEAST,YER087C-B,Protein transport protein SBH1,SBH1,SEB1;YER087C-A
P40061,TSC11_YEAST,YER093C,Target of rapamycin complex 2 subunit TSC11,TSC11,AVO3
P25451,PSB3_YEAST,YER094C,Proteasome component PUP3,PUP3,SCS32
P25454,RAD51_YEAST,YER095W,DNA repair protein RAD51,RAD51,MUT5
P40059,DOT6_YEAST,YER088C,Disrupter of telomere silencing protein 6,DOT6,
P38620,KPR2_YEAST,YER099C,Ribose-phosphate pyrophosphokinase 2,PRS2,PRPS2;PRS
P33296,UBC6_YEAST,YER100W,Ubiquitin-conjugating enzyme E2 6,UBC6,DOA2
P22202,HSP74_YEAST,YER103W,Heat shock protein SSA4,SSA4,YG107
P39966,PP2C2_YEAST,YER089C,Protein phosphatase 2C homolog 2,PTC2,
P40066,GLE2_YEAST,YER107C,Nucleoporin GLE2,GLE2,RAE1
P40069,IMB4_YEAST,YER110C,Importin beta-4 subunit,KAP123,YRB4
P25302,SWI4_YEAST,YER111C,Regulatory protein SWI4,SWI4,ART1
P40070,LSM4_YEAST,YER112W,U6 snRNA-associated Sm-like protein LSm4,LSM4,SDB23;USS1
P00899,TRPE_YEAST,YER090W,Anthranilate synthase component 1,TRP2,
P39969,BOI2_YEAST,YER114C,Protein BOI2,BOI2,BEB1
P05694,METE_YEAST,YER091C,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase,MET6,
P04451,RL23_YEAST,YBL087C,60S ribosomal protein L23,RPL23A,RPL17B
P04451,RL23_YEAST,YER117W,60S ribosomal protein L23,RPL23B,RPL17B
P39962,KC13_YEAST,YER123W,Casein kinase I homolog 3,YCK3,CKI3
P40060,IES5_YEAST,YER092W,Ino eighty subunit 5,IES5,
P39940,RSP5_YEAST,YER125W,E3 ubiquitin--protein ligase RSP5,RSP5,MDP1;MUT2;NPI1;SMM1;UBY1
P39967,UBP9_YEAST,YER098W,Ubiquitin carboxyl-terminal hydrolase 9,UBP9,
P32598,PP12_YEAST,YER133W,Serine/threonine-protein phosphatase PP1-2,GLC7,CID1;DIS2;DIS2S1;PP1
P39958,GDI1_YEAST,YER136W,Rab GDP-dissociation inhibitor,GDI1,SEC19
P39945,AST2_YEAST,YER101C,Protein AST2,AST2,
P22134,MAG_YEAST,YER142C,DNA-3-methyladenine glycosylase,MAG1,MAG;MMS5
P40087,DDI1_YEAST,YER143W,DNA damage-inducible protein DDI1,DDI1,VSM1
P13393,TBP_YEAST,YER148W,TATA-box-binding protein,SPT15,BTF1;TBP1
P40091,PEA2_YEAST,YER149C,Protein PEA2,PEA2,DFG9;PPF2
P05754,RS8_YEAST,YBL072C,40S ribosomal protein S8,RPS8A,
P05754,RS8_YEAST,YER102W,40S ribosomal protein S8,RPS8B,
P39952,OXA1_YEAST,YER154W,Inner membrane protein OXA1, mitochondrial precursor,OXA1,PET1402
P39960,BEM2_YEAST,YER155C,GTPase-activating protein BEM2/IPL2,BEM2,IPL2;SUP9;TSL1
P40094,COG3_YEAST,YER157W,Conserved oligomeric Golgi complex subunit 3,COG3,GRD20;SEC34
P40096,NCB1_YEAST,YER159C,Negative cofactor 2 complex subunit alpha,BUR6,NCB1
P06843,SPT2_YEAST,YER161C,Protein SPT2,SPT2,EXA1;SIN1;SPM2
P33306,BCK2_YEAST,YER167W,Protein BCK2,BCK2,CTR7
P21269,CCA1_YEAST,YER168C,tRNA nucleotidyltransferase, mitochondrial precursor,CCA1,TNT1
P26364,KAD2_YEAST,YER170W,Adenylate kinase 2,ADK2,AKY3;PAK3
P06839,RAD3_YEAST,YER171W,DNA repair helicase RAD3,RAD3,REM1
P32639,BRR2_YEAST,YER172C,Pre-mRNA-splicing helicase BRR2,BRR2,PRP44;RSS1;SLT22;SNU246
P32641,RAD24_YEAST,YER173W,Checkpoint protein RAD24,RAD24,RS1
P14736,RAD4_YEAST,YER162C,DNA repair protein RAD4,RAD4,
P32644,ECM32_YEAST,YER176W,Putative ATP-dependent RNA helicase ECM32,ECM32,HEL1;MTT1
P29311,BMH1_YEAST,YER177W,Protein BMH1,BMH1,APR6
P25453,DMC1_YEAST,YER179W,Meiotic recombination protein DMC1,DMC1,ISC2
P32657,CHD1_YEAST,YER164W,Chromo domain protein 1,CHD1,
P04147,PABP_YEAST,YER165W,Polyadenylate-binding protein, cytoplasmic and nuclear,PAB1,
P40105,YRF12_YEAST,YER190W,Y' element ATP-dependent helicase protein 1 copy 2,YRF1-2,YRF1
P43585,VTC2_YEAST,YFL004W,Vacuolar transporter chaperone 2,VTC2,PHM1
P07560,SEC4_YEAST,YFL005W,Ras-related protein SEC4,SEC4,SRO6
P43583,BLM10_YEAST,YFL006W,Proteasome activator BLM10,BLM10,BLM3;YFL006W
P43583,BLM10_YEAST,YFL007W,Proteasome activator BLM10,BLM10,BLM3;YFL006W
P32908,SMC1_YEAST,YFL008W,Structural maintenance of chromosomes protein 1,SMC1,CHL10
P32660,ATC5_YEAST,YER166W,Probable phospholipid-transporting ATPase DNF1,DNF1,
P32450,AUA1_YEAST,YFL010W-A,Ammonia regulation of amino acid uptake protein,AUA1,YFL011W-A
P22943,HSP12_YEAST,YFL014W,12 kDa heat shock protein,HSP12,GLP1;HOR5
P43577,GNA1_YEAST,YFL017C,Glucosamine 6-phosphate N-acetyltransferase,GNA1,PAT1
P40204,RUXG_YEAST,YFL017W-A,Small nuclear ribonucleoprotein G,SMX2,SNP2;YFL018W-A
P09624,DLDH_YEAST,YFL018C,Dihydrolipoyl dehydrogenase, mitochondrial precursor,LPD1,DHLP1;HPD1
P43574,GAT1_YEAST,YFL021W,Transcriptional regulatory protein GAT1,GAT1,MEP80;NIL1
P43573,BUD27_YEAST,YFL023W,Bud site selection protein 27,BUD27,URI;URI1
P43571,BST1_YEAST,YFL025C,GPI inositol-deacylase,BST1,PER17
P39956,RPH1_YEAST,YER169W,DNA damage-responsive transcriptional repressor RPH1,RPH1,
P43568,CAK1_YEAST,YFL029C,Serine/threonine-protein kinase CAK1,CAK1,CIV1
P41546,HAC1_YEAST,YFL031W,Transcriptional activator HAC1,HAC1,ERN4;IRE15;IRE2
P43565,RIM15_YEAST,YFL033C,Serine/threonine-protein kinase RIM15,RIM15,TAK1
P02557,TBB_YEAST,YFL037W,Tubulin beta chain,TUB2,ARM10;SHE8
P01123,YPT1_YEAST,YFL038C,GTP-binding protein YPT1,YPT1,YP2
P60010,ACT_YEAST,YFL039C,Actin,ACT1,ABY1;END7
P43561,FET5_YEAST,YFL041W,Iron transport multicopper oxidase FET5 precursor,FET5,
P07283,PMM_YEAST,YFL045C,Phosphomannomutase,SEC53,ALG4
P43556,RGD2_YEAST,YFL047W,Rho-GTPase-activating protein RGD2,RGD2,
P43555,EMP47_YEAST,YFL048C,Protein EMP47 precursor,EMP47,
P43554,SWP82_YEAST,YFL049W,SWI/SNF global transcription activator complex component SWP82,SWP82,
P43553,ALR2_YEAST,YFL050C,Magnesium transporter ALR2,ALR2,
P43588,RPN11_YEAST,YFR004W,26S proteasome regulatory subunit RPN11,RPN11,MPR1
P34756,FAB1_YEAST,YFR019W,1-phosphatidylinositol-3-phosphate 5-kinase FAB1,FAB1,SVL7
P43601,ATG18_YEAST,YFR021W,Autophagy-related protein 18,ATG18,AUT10;CVT18;NMR1;SVP1
P43550,DAK2_YEAST,YFL053W,Dihydroxyacetone kinase 2,DAK2,
P43603,LSB3_YEAST,YFR024C-A,LAS seventeen-binding protein 3,LSB3,YFR024C
P43605,ECO1_YEAST,YFR027W,N-acetyltransferase ECO1,ECO1,CTF7
Q00684,CDC14_YEAST,YFR028C,Tyrosine-protein phosphatase CDC14,CDC14,OAF3
P43606,PTR3_YEAST,YFR029W,Protein PTR3,PTR3,SSY3
P05747,RL29_YEAST,YFR032C-A,60S ribosomal protein L29,RPL29,YL43
P00127,UCRH_YEAST,YFR033C,Ubiquinol-cytochrome c reductase complex 17 kDa protein,QCR6,COR3;UCR6
P14724,CDC26_YEAST,YFR036W,Anaphase-promoting complex subunit CDC26,CDC26,HIT3;SCD26
P43609,RSC8_YEAST,YFR037C,Chromatin structure remodeling complex protein RSC8,RSC8,SWH3
P43548,AGP3_YEAST,YFL055W,General amino acid permease AGP3,AGP3,
P43547,AAD6_YEAST,YFL056C,Putative aryl-alcohol dehydrogenase AAD6,AAD6,
P43546,AAD16_YEAST,YFL057C,Putative aryl-alcohol dehydrogenase AAD16,AAD16,
P43534,THI5_YEAST,YFL058W,Pyrimidine precursor biosynthesis enzyme THI5,THI5,
P43545,SNZ3_YEAST,YFL059W,Probable pyridoxine biosynthesis protein SNZ3,SNZ3,
P43544,SNO3_YEAST,YFL060C,Probable glutamine amidotransferase SNO3,SNO3,
